ID,FC name,FC parent,FC ontology,ADAN name,ADAN parent,Confidence,Note
65,,,,inferior mesenteric,sigmoid 2,0.9633437395095825,
65,,,,inferior mesenteric,sigmoid 1,0.953208327293396,
65,,,,inferior mesenteric,inferior mesenteric,0.9401092529296875,
65,,,,inferior mesenteric,abdominal aorta,0.9293835759162903,
66,Superior anorectal artery,Inferior mesenteric artery,nan,superior rectal,inferior mesenteric,0.9999998807907104,align
67,Left testicular artery,Abdominal aorta,UBERON:0001189,testicular,abdominal aorta,0.9470570683479309,
67,,,,inferior mesenteric,abdominal aorta,0.9005175828933716,
67,,,,abdominal aorta,lumbar,0.8915138840675354,
67,,,,common iliac,abdominal aorta,0.8900303840637207,
67,,,,median sacral,abdominal aorta,0.8885851502418518,
68,Right testicular artery,Abdominal aorta,UBERON:0001188,testicular,abdominal aorta,0.9663236141204834,
68,,,,common iliac,abdominal aorta,0.9091948866844177,
68,,,,abdominal aorta,abdominal aorta,0.8997992873191833,
68,,,,superior mesenteric,abdominal aorta,0.8994836807250977,
68,,,,middle suprarenal,abdominal aorta,0.8953858613967896,
69,Left renal artery,Abdominal aorta,UBERON:0001186,renal,abdominal aorta,0.9486153721809387,
69,,,,left coronary,aortic arch,0.9137011766433716,
69,,,,inferior mesenteric,abdominal aorta,0.9124382138252258,
69,,,,testicular,abdominal aorta,0.9035785794258118,
69,,,,left colic,inferior mesenteric,0.903232991695404,
70,Inferior suprarenal artery,Left renal artery,UBERON:0002056,inferior suprarenal,renal,0.9491198062896729,
70,,,,left colic,inferior mesenteric,0.897351861000061,
70,,,,renal anterior branch,inferior segmental,0.895111083984375,
70,,,,left gastric,splenic,0.8739910125732422,
70,,,,renal posterior branch,renal,0.8692905306816101,
71,Anterior branch of renal artery,Left renal artery,ILX:0747080,inferior suprarenal,renal,0.9172310829162598,
71,,,,renal anterior branch,inferior segmental,0.9076371192932129,
71,,,,renal,renal,0.9061229825019836,
71,,,,renal posterior branch,renal,0.9021489024162292,
71,,,,renal anterior branch,renal anterior branch,0.8970881104469299,
72,Posterior branch of renal artery,Left renal artery,ILX:0743027,renal posterior branch,renal,0.9257639050483704,
72,,,,posterior segmental branch 2,renal posterior branch,0.8918158411979675,
72,,,,renal posterior branch,renal posterior branch,0.889126181602478,
72,,,,renal posterior branch,renal anterior branch,0.876594603061676,
72,,,,inferior suprarenal,renal,0.8664870262145996,
73,Intrarenal arteries of the left kidney,Left renal artery,FMA:86337,left colic descending branch,left colic,0.8561758399009705,
73,,,,left colic ascending branch,left colic,0.847048282623291,
73,,,,left colic,inferior mesenteric,0.837189257144928,
73,,,,lateral segmental artery,hepatic artery proper left branch,0.8315479755401611,
73,,,,left gastric,left gastric,0.8304315805435181,
74,Right renal artery,Abdominal aorta,UBERON:0001185,renal,abdominal aorta,0.9552692174911499,
74,,,,middle suprarenal,abdominal aorta,0.9294888973236084,
74,,,,testicular,abdominal aorta,0.9258419275283813,
74,,,,common iliac,abdominal aorta,0.9232927560806274,
74,,,,right coronary,aortic arch,0.915423572063446,
75,Intrarenal arteries of the right kidney,Right renal artery,FMA:86336,right coronary right marginal branch,right coronary,0.8574731945991516,
75,,,,right coronary,right coronary,0.8534432053565979,
75,,,,right colic,right colic,0.8531028032302856,
75,,,,anterior segmental artery,hepatic artery proper right branch,0.8465455770492554,
75,,,,right coronary atrial branch,right coronary,0.8433961868286133,
76,Aortic bifurcation,NA,ILX:0744099,brachiocephalic trunk,common carotida,0.8586372137069702,
76,,,,brachial,axillary,0.8489773273468018,
76,,,,thoracic aorta,aortic arch,0.8475844264030457,
76,,,,basilar,basilar,0.8323063254356384,
76,,,,thoracoacromial acromial branch,thoracoacromial deltoid branch,0.831411600112915,
77,Median sacral artery,Abdominal aorta,UBERON:0005464,median sacral,abdominal aorta,0.9999998807907104,align
78,Common iliac artery,Abdominal aorta,UBERON:0001191,common iliac,abdominal aorta,1.0,align
79,External iliac artery,Common iliac artery,UBERON:0001308,external iliac,common iliac,1.0000001192092896,align
80,Inferior epigastric artery,External iliac artery,UBERON:0001354,external iliac,inferior epigastric,1.0,need to check parent-child relation
81,Internal iliac artery,Common iliac artery,UBERON:0001309,internal iliac,common iliac,1.0,align
82,Posterior division of iliac artery,Internal iliac artery,nan,internal iliac,internal iliac,0.9490485787391663,
82,,,,internal iliac,common iliac,0.9373651742935181,
82,,,,internal pudendal,internal iliac,0.9307565689086914,
82,,,,obturator,internal iliac,0.9250516295433044,
82,,,,inferior gluteal,internal iliac,0.9232430458068848,
83,Iliolumbar artery,Posterior division of iliac artery,UBERON:0001313,iliolumbar iliac branch,iliolumbar,0.9527921080589294,
83,,,,iliolumbar,iliolumbar,0.942828893661499,
83,,,,iliolumbar lumbar branch,iliolumbar,0.925886332988739,
83,,,,iliolumbar spinal branch,iliolumbar,0.9197897911071777,
83,,,,intramedullary l 1,posterior spinal,0.9122825860977173,
